nb,Dataset,Method,SDCS
4,Census,FabricMeans,4
16,Census,FabricMeans,3.25
64,Census,FabricMeans,3.2
256,Census,FabricMeans,120
1024,Census,FabricMeans,639.37
4,Diabetes,FabricMeans,2.85
16,Diabetes,FabricMeans,3.26
64,Diabetes,FabricMeans,2.78
256,Diabetes,FabricMeans,13.03
1024,Diabetes,FabricMeans,549.36
4,Letter,FabricMeans,2.75
16,Letter,FabricMeans,3.51
64,Letter,FabricMeans,2.88
256,Letter,FabricMeans,2.92
1024,Letter,FabricMeans,614.19
4,Loan,FabricMeans,2.63
16,Loan,FabricMeans,2.81
64,Loan,FabricMeans,3.25
256,Loan,FabricMeans,72.29
1024,Loan,FabricMeans,290.81
4,Patient,FabricMeans,2.79
16,Patient,FabricMeans,2.85
64,Patient,FabricMeans,2.7
256,Patient,FabricMeans,113.68
1024,Patient,FabricMeans,583.74
4,Student,FabricMeans,2.7
16,Student,FabricMeans,3.09
64,Student,FabricMeans,2.8
256,Student,FabricMeans,108.76
1024,Student,FabricMeans,660.56
4,Taxi,FabricMeans,3.36
16,Taxi,FabricMeans,4.23
64,Taxi,FabricMeans,17.46
256,Taxi,FabricMeans,154.67
1024,Taxi,FabricMeans,585.31
4,YearPrediction,FabricMeans,2.91
16,YearPrediction,FabricMeans,3.04
64,YearPrediction,FabricMeans,3.46
256,YearPrediction,FabricMeans,3.24
1024,YearPrediction,FabricMeans,168.17
