nb,Dataset,Method,SDCS
4,Census,FabricMeans,4.06
16,Census,FabricMeans,4.06
64,Census,FabricMeans,4.23
256,Census,FabricMeans,73.25
1024,Census,FabricMeans,286.63
4,Diabetes,FabricMeans,8.62
16,Diabetes,FabricMeans,8.46
64,Diabetes,FabricMeans,11.84
256,Diabetes,FabricMeans,10.92
1024,Diabetes,FabricMeans,329.93
4,Letter,FabricMeans,12.84
16,Letter,FabricMeans,11.61
64,Letter,FabricMeans,12.12
256,Letter,FabricMeans,12.35
1024,Letter,FabricMeans,355.71
4,Loan,FabricMeans,8.88
16,Loan,FabricMeans,9.61
64,Loan,FabricMeans,9.74
256,Loan,FabricMeans,45.03
1024,Loan,FabricMeans,505.74
4,Patient,FabricMeans,4.68
16,Patient,FabricMeans,4.9
64,Patient,FabricMeans,7.44
256,Patient,FabricMeans,5.04
1024,Patient,FabricMeans,249.68
4,Student,FabricMeans,10.55
16,Student,FabricMeans,11.04
64,Student,FabricMeans,9.57
256,Student,FabricMeans,40.23
1024,Student,FabricMeans,452.8
4,Taxi,FabricMeans,5.37
16,Taxi,FabricMeans,5.98
64,Taxi,FabricMeans,9.04
256,Taxi,FabricMeans,65.24
1024,Taxi,FabricMeans,232.41
4,YearPrediction,FabricMeans,9.7639
16,YearPrediction,FabricMeans,14.91
64,YearPrediction,FabricMeans,15.52
256,YearPrediction,FabricMeans,13.86
1024,YearPrediction,FabricMeans,92.74
