1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
43368.96,39112.11,37707.79,36724.63,36037.57,35519.68,35209.05,35048.04,35019.6,34925.38,34907.24,34846.29,34869.57,34836.51,34848.78,34903.48,34883.75,34878.81,34881.29,34916,34939.05,34872.16,34893.57,34898.75,34926.6,34931.15,34914.27,34931.19,34914.36,34899.56,34868.82,34884.5,34876.81,34910.92,34917.11,34910.94,34880.99,34920.65,34881.42,34865.75,34887.67,34880.74,34938.33,34901.41,34953.13,34917.25,34905.89,34915.57,34909.49,34913.37,34884.6,34920.44,34905.76,34911.58,34832.21,34848.48,34897.24,34892.17,34898.91,34922.05,34883.89,34895.22,34941.5,34952.33,34940.88,34938.7,34910.19,34923.19,34934.06,34915.69,34926.96,34906.85,34923.03,34924.12,34902.97,34902.03,34879.73,34857.08,34891.38,34881.6,34878.3,34876.05,34934.3,34917.89,34889.45,34905.88,34921.28,34922.5,34873.35,34914.27,34907.96,34884.32,34898.99,34900.5,34885.45,34911.23,34937.91,34947.88,34884.89,34893.05
43601.35,38928.34,37081.6,35996.25,35498.23,35288.04,35196.51,35058.92,35038.43,34998.84,34943,34903.03,34908.82,34855.97,34870.56,34930.96,34919.41,34921.7,34890.44,34932.38,34983.04,34926.91,34924.97,34913.77,34947.19,34973.65,34937.72,34984.96,34959.52,34943.65,34910.35,34925.39,34930.83,34940.31,34945.61,34943.93,34890.46,34976.76,34925.69,34892.91,34926,34916,34962.15,34927,34968.36,34930.51,34911.36,34936.84,34931.44,34941.72,34921.17,34957.03,34932.64,34947.11,34851.7,34882.4,34911.18,34904.78,34920.94,34968.95,34921.2,34911.93,34970.02,34967.96,34968.24,34977.36,34943.59,34937.66,34962.38,34943.05,34939.05,34918.77,34935.93,34933.3,34930.74,34931.31,34910.71,34879.62,34933.51,34899,34908.56,34904.06,34946.1,34943.9,34924.34,34927.68,34945.13,34972.42,34920.59,34955.77,34941.37,34903.29,34925.71,34916.11,34910.03,34911.74,34941.18,34960.19,34906.73,34910.58
44002.27,39129.82,37310.46,36322.42,36100.07,35913.42,35808.57,35716.75,35730.12,35635.87,35514.9,35332.32,35203.92,35060.29,35039.5,34994.64,34966.97,34921.03,34969.74,35018.96,35000.86,34929.74,34989.56,34972.53,34995.12,35002.78,34975.86,35013.93,35001.19,34993.19,34958.23,34950.16,34951.98,34968.22,34974.99,34980.29,34979.89,34991.56,35002.34,34935.91,35003.25,35050.45,35092.06,35023.7,35075.45,34996.51,35017.17,34952.05,34969.11,34974.12,34942.49,34947.45,34947.62,34960.25,34885.43,34897.65,34960.98,34964.47,34941.51,34967.58,34951.09,34975.42,35026.68,35013.98,35013.63,35025.44,35015.31,35000.79,35023.46,34991.91,34971.71,34990.12,34984.92,34954.82,34979.91,35018.32,34951.93,34912.73,34954.18,34936.44,34952.66,34966.6,34996.79,35002.02,34994.03,34956.84,35002.79,35027.45,34974.24,35006.58,34990.16,34996.82,34989.23,34976.47,34988.18,34970.01,34983.71,35022.24,34960.07,34984.53
45043.55,39197.68,37106,36216.52,35911.87,35508.62,35335.6,35221.94,35384.51,35348.72,35492.65,35369.84,35264.99,35178.18,35235.41,35307.75,35321.47,35211.41,35310.56,35164.05,35198.86,35025.05,35095.71,35124.61,35122.58,35148.28,35111.12,35127.39,35082.8,35139.41,35156.68,35281.2,35201.52,35220.09,35213.03,35060.74,35074.08,35065.68,35086.92,35200.47,35192.11,35203.44,35214.24,35151.86,35129.79,35041.16,35117.48,35150.35,35146.83,35163.43,35203.98,35088.97,35121.84,35125.1,35094.97,35161.53,35176.8,35226.42,35304.67,35290.8,35213.05,35265.91,35263.96,35303.81,35270.24,35345.48,35275.43,35271.75,35279.06,35261.45,35260.9,35275.93,35191.01,35281.58,35288.88,35267.98,35248.59,35146.51,35256.8,35173.25,35223.71,35251.39,35248.7,35207.03,35241.89,35244.44,35341.86,35299.33,35155.56,35143.99,35136.75,35252.68,35224.29,35147.27,35144.49,35227.11,35343.8,35220.1,35309.51,35354.96
46644.24,40726.14,38698.03,37430.46,36829.9,36290.99,35955.86,35583.63,35550.51,35700.5,35498.8,35376.43,35406.6,35342.48,35460.95,35484.41,35526.78,35693.89,35697.72,35741.21,35785.76,35574.64,35478.76,35316.52,35299.59,35504.21,35633.81,35663.16,35553.46,35426.44,35326.85,35336.27,35437.98,35592.09,35752.15,35706.6,35648.49,35982.43,35619.58,35399.76,35286.6,35107.62,35330.12,35551.13,35506.26,35284.53,35183.12,35237.04,35386.51,35408.99,35549.9,35622.79,35737.5,35635.57,35554.46,35571.96,35446.85,35554.44,35647.91,35573.59,35477.76,35588.02,35474.71,35479.25,35609.95,35521.49,35544.02,35656.94,35548.35,35455.63,35377.38,35259.24,35250.34,35332.25,35186.16,35240.99,35228.05,35259.37,35399.59,35277.33,35394.72,35379.85,35528.11,35415.88,35408.86,35455.44,35600.89,35616.12,35426.22,35516.76,35620.92,35312.39,35395.05,35482.84,35448.48,35377.11,35387.27,35481.03,35301.73,35295.09
197568.72,193065.58,191226.94,190553.63,190551.61,191071.71,191489.01,191710.64,192150.82,192416.07,192758.92,192865.61,192797.81,192758.27,192885.91,192834.98,192867.76,192900.99,192876.55,192776.74,192816.18,192734.38,192854.83,192818.83,192771.21,192936.71,192641.34,192771.68,192755.27,192728.4,192636.33,192586.6,192764.64,192676.37,192737.02,192700.68,192632.04,192751.93,192875.03,192775.21,192915.49,192770.88,192633.13,192765.01,192621.74,192786.91,192732.4,192858.95,192950.56,192783.61,192793.5,192667.42,192764.35,192564.27,192699.23,192794.63,192782.2,192848.9,192842.96,192782.21,192761.79,192796.58,192880.21,192728.02,192729.41,192740.61,192833.45,192870.53,192812.56,192854.46,192831.38,192740.24,192741.64,192872.69,192763.8,192721.25,192717.21,192848.61,192776.77,192908.42,192737.24,192890.72,192804.38,192881.73,192872.11,192890.14,192836.41,192846.22,192906.85,192665.75,192790.72,192775.77,192650.8,192754.96,192865.77,192859.91,192675.25,192699.85,192632.24,192793.28
198361.11,193870.49,192653.88,192150.2,192030.91,191946.9,191912.12,191833.04,192130.17,192211.77,192712,192807.92,192954.58,192924.06,192860.25,192807.57,192774.66,192857.68,192885.23,192859.65,192769.85,192849.31,192843.33,192914.04,192816.54,192891.94,192827.42,192751.06,192745.35,192728.22,192685.97,192733.53,192809.63,192791.65,192751.27,192719.86,192577.76,192729.9,192806.35,192717.23,192774.02,192749.62,192727.19,192855.55,192758.86,192882.92,192842.23,192862.03,192734.37,192827.86,192847.37,192778.26,192991.67,192680.8,192655.81,192871.04,192699.91,192777.9,192745.34,192882.57,192730.06,192892.11,192834.86,192810.68,192779.7,192726.44,192798.28,192875.41,192786.83,192864.83,192935.76,192870.8,192754.87,192820.84,192846.1,192917.81,192827.45,192758.81,192769.49,192705.87,192647.47,192790.06,192816.03,192836.16,192752.87,192758.1,192828.93,192886.69,192811.11,192682.73,192851.27,192763.76,192638.25,192689.37,192862.2,192806.7,192647.51,192778.89,192710.35,192802.41
198860.75,194053.95,192781.75,192280.53,192050.56,191859.34,191739,191656.36,192058.98,192276.27,192719.38,192793.4,192837.51,192842.36,192991.57,192890.48,192866.4,192942.04,192946.58,192901.09,192890.84,192924.99,192959.14,192940.83,192909.09,192968.51,192813.46,192814.92,192863.96,192748.65,192737.06,192727.25,192856.72,192851.69,192855.97,192802.36,192664.02,192825.6,192893.58,192856.34,192881.68,192831.18,192745.74,192958.41,192793.58,192867.95,192927.72,192908.96,192939.34,192909.46,192818.58,192759,192944.03,192705.67,192810.2,192904.72,192886.49,192925.51,192781.4,192886.59,192830.93,192935.03,192858.05,192895.13,192812.53,192816.32,192924.88,192900.54,192861.92,192946.05,193010.37,192942.58,192842.32,192928.14,192887.64,192906.04,192920.66,192920.75,192847.14,192863.5,192836.01,192874.28,192860.86,192808.45,192925.42,192904.18,192905.91,192981.75,192840.87,192789,192887.8,192886.06,192682.91,192751.78,192864.28,192916.27,192697.23,192760.43,192764.34,192833.94
200858.89,195325.48,194191.04,193811.2,193724.47,193616.69,193590.65,193384.99,193381.53,193196.39,193404.89,193269.29,193227.79,193203.95,193200.2,193229.08,193130.12,193194.72,193236.1,193227.09,193225.1,193250.09,193194.72,193169.4,193188.74,193173.45,193053,193022.3,193008.26,193104.96,193015.67,193017.33,193009.07,192997.37,192996.96,192962.37,192958.46,193015.55,193199.78,193093.94,193193.41,193088.24,193008.12,193081.59,193009.13,193100.11,193153.98,193244.1,193170.14,193117.23,193222.55,193053.97,193215.44,192982.73,192957.42,193161.84,193067,193076.09,193099.85,193108.08,193092.15,193126.47,193183.65,193061.58,193109.54,193048.3,193070.86,193191.13,193085.16,193156.05,193167.55,193096.23,193149.45,193164.39,193164.44,193148.2,193068.18,193090.66,193055.89,193110.4,193065.74,193221.07,193209.73,193190.47,193083.16,193131.68,193177.7,193142.76,193094.64,192992.59,193117.26,193103.86,192975.63,193033.09,193147.27,193185.96,192940.26,193046.86,192983.83,193114.32
