1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
48993.79,43882.84,41840.93,40824.14,40066.39,39344.74,38928.19,38472.72,38103.1,37786.34,37528.72,37142.9,37041.58,36878.98,36842.31,36694.33,36784.73,36617.89,36645.11,36564.62,36553.15,36498.97,36453.74,36423.55,36469.6,36522.26,36464.81,36477.22,36454.32,36460.99,36436.4,36452.94,36459.35,36494.33,36451.32,36420.53,36448.25,36538.25,36548.22,36458.83,36478.3,36474.38,36517.31,36514.28,36484.85,36471.79,36417.11,36430.39,36364.52,36389.45,36431.52,36445.71,36517.69,36475.21,36385.82,36476.79,36504.15,36453.69,36437.34,36390.56,36424.77,36404.86,36388.78,36378.59,36471.52,36615.03,36537.41,36503.54,36467.8,36509.32,36447.72,36448.02,36417.55,36450.02,36448.53,36473.04,36438.83,36472.57,36491.87,36378.47,36321.07,36330.39,36339.54,36361.3,36398.02,36412.39,36462.58,36483.99,36418.67,36437.7,36512.06,36435.2,36436.19,36456.94,36434.03,36420.55,36456.2,36416.4,36402.38,36403.73
46878.71,41084.16,39313.54,38062.33,37294.93,36787.51,36462.5,36082.81,35938.6,35811.61,35771.3,35596.37,35572.73,35496.02,35508.51,35503.98,35575.32,35534.18,35555.96,35514.5,35577.18,35472.11,35504.73,35464.97,35502.42,35498.43,35435.49,35494.25,35463.05,35493.27,35452.04,35491.8,35501.65,35517.57,35485.62,35453.35,35465.69,35487.87,35439.35,35451.35,35479.68,35460.63,35461.5,35490.73,35487.23,35427.01,35442.23,35461.61,35434.6,35434.76,35467.66,35475.84,35503.18,35445.23,35417.55,35451.23,35443.37,35423.94,35449.24,35454.71,35437.54,35467.93,35420.01,35415.46,35505.58,35543.99,35478.09,35469.47,35421.45,35473.35,35438.01,35441.88,35437.27,35425.83,35462.2,35448.91,35447.97,35432.73,35475.51,35409.13,35432.18,35397.64,35460.14,35423.73,35432.07,35431.58,35442,35477.7,35406.5,35435.47,35465.41,35437.45,35415.14,35407.69,35416.72,35451.64,35498.81,35476.27,35413.12,35452.39
45183.36,40128.05,38771.06,37787.26,37204.01,36760.18,36294.56,35874.14,35657.76,35447,35391.61,35218.05,35189.73,35102,35063.36,35102.99,35072.61,35100.52,35073.68,35086.2,35122.56,35099.21,35094.44,35099.92,35138.82,35151.34,35123.21,35125.66,35149.9,35121.51,35091.46,35086.99,35103.38,35140.65,35122.11,35128.29,35081.09,35137.29,35117.27,35094.72,35115.58,35091.47,35188.61,35100.82,35131.13,35133.41,35105.82,35151.3,35134.39,35127.14,35135.61,35126.13,35142.22,35135.19,35075.02,35113.59,35130.56,35110.62,35121.39,35172.66,35130.71,35118.98,35184.02,35168.92,35154.88,35189.47,35161.84,35141.05,35155.79,35107.66,35125.43,35120.95,35128.67,35144.16,35122.66,35113.07,35086.21,35111.97,35103.53,35058.92,35076.63,35084.09,35115.72,35135.27,35118.05,35100.91,35148.08,35124.69,35090.68,35157.29,35133.91,35063.1,35128.2,35107.54,35107.17,35119.1,35117.36,35139.44,35097.55,35123.59
43621.71,39235.4,37500.06,36347.41,35944.01,35829.03,35767.82,35686.19,35661.45,35489.68,35364.53,35158.4,35033.68,34899.59,34906.46,34937.61,34946.34,34951.14,34914.26,34971.74,34953.37,34917.52,34921.34,34915.25,34973.45,34945.95,34949.38,35013.94,34968.46,34935.77,34906.39,34929.69,34950.23,34963.74,34945.07,34958.25,34930.71,34966.5,34937.68,34910.48,34937.55,34916.25,34975.47,34934.43,34978.5,34956.6,34905.44,34918.77,34917.7,34946.55,34946.96,34957.04,34971,34952.06,34908.29,34878.58,34932.44,34932.16,34904.23,34964.5,34939.65,34907.68,34967.91,34960.59,34941.88,34956.94,34938.57,34951.99,34939.4,34921.34,34932.72,34924.37,34932.2,34918.63,34916.66,34922.19,34912.07,34894.66,34919.7,34895.98,34898.77,34906.16,34920.84,34926.39,34924.5,34915.28,34948.31,34969.2,34910.39,34899.45,34906.49,34902.41,34896.42,34907.27,34888.2,34896.97,34937.26,34960.28,34873.59,34912.73
43177.12,38692.92,36930.11,35903.69,35534.25,35293.9,35173.64,35076.64,35113.23,35110.71,35062.72,34963.84,34932.87,34836.23,34841.48,34894.21,34855,34874.22,34832.88,34876.62,34933.04,34885.85,34893.56,34862.09,34907.03,34929.37,34893.27,34934.98,34916.66,34895.46,34858.61,34885.61,34877.37,34902.49,34908.16,34903.5,34853.27,34915.86,34890.22,34852.83,34883.41,34877.56,34931.8,34883.13,34923.85,34875.9,34876.14,34892.42,34890.63,34892.47,34886.62,34902.47,34893.97,34896.46,34803.32,34822.44,34858.85,34868.53,34885.2,34917.68,34870.1,34853.42,34919.61,34930.27,34910.27,34926.1,34889.87,34904.12,34920.76,34893.2,34901.97,34863.87,34885.65,34891.14,34882.45,34888.57,34876.62,34848.08,34887.12,34846.91,34855.48,34857.13,34898.5,34908.14,34870.87,34883.65,34894.24,34920.82,34877.39,34906.4,34898.7,34868.59,34880.3,34874.76,34861.05,34869.26,34896.22,34919.78,34859.41,34873.39
43022.47,38663.54,37017.23,35912.15,35430.86,35216.2,35124.11,35038,35040.36,35027.14,34997.54,34904.45,34884.82,34799.26,34821.2,34859.25,34847.89,34854.01,34820.94,34852.49,34914.24,34860.46,34875.42,34860.71,34885.67,34919.57,34886.12,34922.46,34915.34,34876.24,34845.47,34869.41,34860.67,34887.86,34894.23,34892,34844.1,34915.89,34873.96,34836.04,34881.09,34850.47,34922.65,34874.14,34906.48,34876.51,34861.47,34885.95,34873.19,34880.4,34867.85,34895.05,34881.28,34884.55,34801.5,34824.57,34857.34,34861.57,34876.17,34900.82,34861.11,34855.56,34902.34,34916.38,34894.87,34902.57,34881.47,34896.44,34907.56,34867.09,34892.31,34842.6,34863.41,34867.27,34863.61,34863.16,34850.7,34823.43,34857.94,34830.14,34831.45,34831.75,34882.93,34884.23,34845.43,34852.78,34871.98,34905.02,34849.95,34881.46,34871.06,34848.8,34853,34847.57,34837.12,34848.19,34889.01,34905.41,34845.35,34857.15
203856.04,195105.75,193724.35,193644.01,193975.61,194152.94,194241.17,194138.28,194101.28,194100.62,194196.87,194168.26,194202.17,194092.22,194180.95,194048.56,194024.79,194013.79,194043.54,193976.1,193984.56,193918.88,194150.39,194123.49,193933.09,194125.37,194051.22,194066.58,194080.32,193966.74,194038.52,193974.57,194086.26,194104.61,194066.97,193902.68,193819.72,193976.29,194058.18,194017.59,193995.43,193893.01,193883.41,194033.11,193980.68,194065.59,194078.87,194067.4,194093.06,194058.3,194034.6,193920.07,194109.5,193965.76,193984.75,194103.21,194151.49,194113.65,193877.71,194050.78,194089.77,194040.97,193998.32,194059.86,193939.36,193958.94,194086.31,194056.1,194081.69,194098.59,194038.34,194092.45,194050.71,194124.16,193930.19,193870.66,194072.87,194089.79,194096.25,194087.76,194091.03,194038.38,193953.32,194064.03,194156.73,194129.23,194037.79,194046.82,194013.76,194063.12,194133.74,194008.93,193930.04,194059.14,194105.05,194103.63,194033.14,194024.64,193985.92,193880.31
200753.4,194450.76,192853.83,192527.57,192950.44,193259.33,193483,193394.41,193443.86,193340.43,193541.81,193461.59,193423.54,193290.15,193430.2,193380.16,193349.54,193344.6,193373.95,193330.89,193328.4,193323.41,193430.74,193432.37,193312.01,193418.75,193233.58,193377.1,193339.93,193270.37,193251.03,193158.92,193270.84,193232.13,193259.37,193175.01,193212.82,193238.32,193480.02,193346.92,193443.79,193310.75,193181.74,193295.97,193138.8,193288.98,193301.24,193344.51,193460.53,193306.71,193313.96,193207.88,193315.89,193136.82,193244.26,193356.92,193383.21,193400.22,193352.43,193297.97,193360.35,193386.28,193386.07,193307.3,193244.18,193307.17,193362.89,193339.19,193365.28,193410.44,193376.44,193328.66,193259.73,193359.36,193220.62,193215.1,193232.17,193315.44,193290.11,193405.6,193306.45,193364.44,193356.66,193369.04,193409.78,193461.97,193356.79,193346.42,193305.12,193279.04,193381.75,193290.12,193213.26,193369.67,193432.88,193436.79,193234.35,193241.22,193185.39,193323.2
198861,193531.5,191904.07,191308.72,191303.1,191487.25,191538.6,191430.96,191354.51,191264.03,191363.07,191393.07,191361.28,191227.4,191408.4,191385.75,191524.42,191796.99,192232.86,192540.43,192838.16,192924.45,193184.25,193183.37,193058.11,193146.56,193062.41,193029.14,193086.76,192909.75,192998.81,192917.38,193071.49,193036.32,193021.66,192905.45,192824.05,192858.66,192975.59,192968.16,192948.11,192826.03,192865.12,192954.52,192919.99,192984.17,193017.04,193019.82,193093.7,193079,192896.73,192939.78,193151.54,192944.75,192961.11,193065.29,193144.14,193134.6,192912.96,193015.91,193038.14,193070.72,192930.74,193068.85,192968.72,192947.93,192960.85,192968.74,192984.17,193006.56,193080.26,192977.6,192961.26,193124.99,193030.02,192944.04,193072.36,193081.05,193072.17,193065.44,193014.88,193019.17,192941.28,192992.17,193105.4,193075.29,192998.57,193070.76,192990.98,193038.33,193099.74,192998.74,192822.36,192965.01,193020.94,193111.55,192973.39,193085.86,192944.87,192832.19
