nb,Dataset,Method,Obj,,,,,,,,,
4,Athlete,FabricMeans,16531.76,,,,,,,,,
16,Athlete,FabricMeans,16531.08,,,,,,,,,
64,Athlete,FabricMeans,16535.26,,,,,,,,,
256,Athlete,FabricMeans,16608.34,,,,,,,,,
1024,Athlete,FabricMeans,66092.59,,,,,,,,,
4,Census,FabricMeans,26094.6,,,,,,,,,
16,Census,FabricMeans,26097.06,,,,,,,,,
64,Census,FabricMeans,26109.75,,,,,,,,,
256,Census,FabricMeans,37980.86,,,,,,,,,
1024,Census,FabricMeans,54115.53,,,,,,,,,
4,Spanish,FabricMeans,14749.7,,,,,,,,,
16,Spanish,FabricMeans,14751.47,,,,,,,,,
64,Spanish,FabricMeans,14750.13,,,,,,,,,
256,Spanish,FabricMeans,16537.7,,,,,,,,,
1024,Spanish,FabricMeans,99999,,,,,,,,,
4,Student,FabricMeans,10887.63,,,,,,,,,
16,Student,FabricMeans,10997.26,,,,,,,,,
64,Student,FabricMeans,11043.68,,,,,,,,,
256,Student,FabricMeans,18312.09,,,,,,,,,
1024,Student,FabricMeans,49275.66,,,,,,,,,
4,Pricerunner,FabricMeans,11130.94 ,,,,,,,,,
16,Pricerunner,FabricMeans,11133.18,,,,,,,,,
64,Pricerunner,FabricMeans,11128.52,,,,,,,,,
256,Pricerunner,FabricMeans,11250.51,,,,,,,,,
1024,Pricerunner,FabricMeans,52909.7,,,,,,,,,
4,Cohort,FabricMeans,17006.60 ,,,,,,,,,
16,Cohort,FabricMeans,17006.78 ,,,,,,,,,
64,Cohort,FabricMeans,17450.92 ,,,,,,,,,
256,Cohort,FabricMeans,19613.39 ,,,,,,,,,
1024,Cohort,FabricMeans,50661.20 ,,,,,,,,,
4,Diabetes,FabricMeans,171386.81 ,,,,,,,,,
16,Diabetes,FabricMeans,171388.21 ,,,,,,,,,
64,Diabetes,FabricMeans,171391.76 ,,,,,,,,,
256,Diabetes,FabricMeans,171397.12 ,,,,,,,,,
1024,Diabetes,FabricMeans,196125.27 ,,,,,,,,,
4,NHANES,FabricMeans,13936.84,,,,,,,,,
16,NHANES,FabricMeans,13942.09,,,,,,,,,
64,NHANES,FabricMeans,13934.21,,,,,,,,,
256,NHANES,FabricMeans,14764.24,,,,,,,,,
1024,NHANES,FabricMeans,36178.93,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
