nb,Dataset,Method,SDCS,,,,
4,Athlete,FabricMeans,1.68,,,,
16,Athlete,FabricMeans,0.16,,,,
64,Athlete,FabricMeans,2.03,,,,
256,Athlete,FabricMeans,6.37,,,,
1024,Athlete,FabricMeans,113.21,,,,
4,Census,FabricMeans,2.23,,,,
16,Census,FabricMeans,1.91,,,,
64,Census,FabricMeans,1.34,,,,
256,Census,FabricMeans,106.29,,,,
1024,Census,FabricMeans,213.52,,,,
4,Spanish,FabricMeans,1.04,,,,
16,Spanish,FabricMeans,0.93,,,,
64,Spanish,FabricMeans,1.01,,,,
256,Spanish,FabricMeans,19.56,,,,
1024,Spanish,FabricMeans,795.11,,,,
4,Student,FabricMeans,1.61,,,,
16,Student,FabricMeans,0.67,,,,
64,Student,FabricMeans,6.82,,,,
256,Student,FabricMeans,32.06,,,,
1024,Student,FabricMeans,297.32,,,,
4,Pricerunner,FabricMeans,0.82,,,,
16,Pricerunner,FabricMeans,1.07,,,,
64,Pricerunner,FabricMeans,0.85,,,,
256,Pricerunner,FabricMeans,5.11,,,,
1024,Pricerunner,FabricMeans,214,,,,
4,Cohort,FabricMeans,1.66,,,,
16,Cohort,FabricMeans,2.22,,,,
64,Cohort,FabricMeans,4.19,,,,
256,Cohort,FabricMeans,6.33,,,,
1024,Cohort,FabricMeans,396.78,,,,
4,Diabetes,FabricMeans,1.19,,,,
16,Diabetes,FabricMeans,1.05,,,,
64,Diabetes,FabricMeans,0.69,,,,
256,Diabetes,FabricMeans,2.69,,,,
1024,Diabetes,FabricMeans,247.11,,,,
4,NHANES,FabricMeans,0.89,,,,
16,NHANES,FabricMeans,0.42,,,,
64,NHANES,FabricMeans,1.18,,,,
256,NHANES,FabricMeans,7.5,,,,
1024,NHANES,FabricMeans,96.54,,,,
