1,2,3,4,5,6,7,8
1,2,3,4,5,6,7,8
20812.56,13964.5,12115.64,10106.92,8946.44,8755.04,7411.72,7067.25
21952.49,13964.5,11462.34,9967.64,9055.56,8477.79,7314.66,6701.92
38759.98,39984.94,39386.8,39324.98,39923.81,39973.56,39968.01,39959.23
22108.78,16531.23,12881.6,10571.33,10298.91,10273.19,9506.06,8124.03
26675.02,25362.99,24402.1,23504.31,22894.61,23103.19,21769.14,21220.75
15301.57,11686.18,9883.28,8993.86,7530.83,6680.46,5786.49,5431.7
15849.99,12890.67,10044.97,8708.18,7702.42,6750.83,5950.86,5347.19
22062.35,23607.99,23610.8,22968.04,22850.6,23564.18,23677.01,23462.95
16452.29,14766.26,13562.1,12387.14,11425.81,10971.82,10493.23,10027.92
18011.98,17765.46,17013.19,17278.21,16771.56,16517.56,16633.07,16414.22
14400.05,8791.28,7788.96,5392.8,5590.35,3274.58,2894.25,2350.28
14503.96,9410.51,7819.98,5957.3,4942.58,3519.76,2779.94,2409.35
39084.42,39987.9,39545.26,39628.33,39757.2,39960.96,39968.63,39965.14
14654.06,11131.78,8659.03,8032.99,7566.51,5538.24,4081.97,4119.74
23305.61,25132.41,20920.63,20154.37,19650.15,19363.05,17246.1,17632.26
176731.95,167011.51,159903.96,152944.99,146943.08,144351.73,139443.39,132641.11
176810.73,167787.82,160285.38,153287.58,147520.13,143401.78,136121.62,137189.92
209440.48,209198.02,209231.25,209603.76,209630.32,209864.73,209843.79,209770.06
179470.63,171386.76,166550.55,161799.6,156927.72,153963.1,148776.12,145204.73
190349.39,190274.58,185904.38,186582.4,185202.64,183203.76,182929.44,182156.6
