1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
84804.77,112867.96,140948.15,33540.43,31758.17,30168.58,29278.89,28810.29,28516.88,28249.66,28004.23,27759.79,27593.73,27337.71,27098.21,26898.71,26766.09,26631.67,26525.7,26451.87,26382.06,26324.32,26282.93,26253.72,26227.76,26207.81,26193.62,26179.71,26172.25,26160.68,26152.42,26145.19,26137.43,26130.47,26125.9,26122.9,26119.04,26115.61,26113.05,26110.7,26109.11,26106.36,26105.5,26102.88,26101.59,26098.3,26095.1,26092.66,26089.83,26090.27,26088.98,26087.99,26086.82,26085.19,26085.81,26082.85,26080.94,26079.77,26080.68,26081.1,26079.88,26078.24,26075.25,26074.84,26074.71,26072.68,26072.9,26070.79,26069.69,26069.26,26068.21,26067.01,26066.4,26066.67,26065.34,26063.87,26063.68,26061.72,26062.39,26062.52,26061.75,26061.21,26060.1,26058.49,26058.48,26056.49,26056.74,26056.47,26056.17,26057.12,26055.43,26054.82,26054.89,26053.96,26055.76,26056.64,26055.01,26055.85,26052.81,26050.77
142387.13,32240.72,31292.16,30677.77,30184.79,29837.96,29574.08,29367.16,29187.48,29025.09,28875,28729.98,28575.28,28416.23,28270.32,28125.83,27995.48,27882.22,27793.58,27683.44,27572.15,27473.94,27384.36,27306.16,27229.59,27156.73,27081.8,27017.17,26955.05,26893.43,26837.15,26806.25,26745.63,26677.63,26627.49,26583.04,26545.63,26507.64,26466.28,26422.48,26391.36,26369.57,26343.58,26320.1,26296.73,26277.29,26266.5,26251.68,26242.77,26232.56,26219.66,26210.38,26199.87,26191.86,26184.7,26177.5,26171.59,26164.99,26159.02,26155.44,26150.75,26148.48,26143.98,26141.66,26137.33,26135.31,26131.59,26130.88,26129.29,26126.05,26123.68,26123.25,26122.17,26120.71,26120.61,26119.55,26118.28,26117.23,26114.42,26115.55,26113.55,26112.4,26111.62,26111.49,26110.07,26109.14,26109.1,26105.98,26105.78,26103.67,26103.68,26103.31,26102.16,26102.47,26100.13,26101.58,26099.18,26099.99,26097.29,26097.06
32999.33,32322,31970.56,31653.89,31401.49,31207.71,31039.62,30871.39,30722.22,30580.62,30453.78,30330.4,30220.55,30104.65,30002.04,29898.99,29803.06,29703.65,29607.16,29507.13,29425.09,29336.75,29257.54,29167.32,29079.93,28988.48,28904.48,28806.07,28729.71,28642.54,28556.69,28490.78,28421.92,28352.16,28280.3,28211.91,28137.49,28077.27,28015.58,27947.22,27883.29,27821.85,27761.48,27700.3,27647.79,27591.19,27535.61,27486.71,27440,27389.11,27353.3,27319.9,27292.33,27254.39,27221.68,27192.73,27165.35,27147.59,27114.62,27074.3,27043.82,27014.3,26986.19,26962.01,26934.79,26912.37,26881.27,26853.7,26834.96,26810.75,26776.88,26742.6,26714.32,26686.56,26663.53,26640.4,26617.38,26594.52,26570.48,26550.98,26529.94,26510.82,26491.87,26475.49,26456.51,26442.41,26427.5,26418.21,26408.98,26398.87,26389.91,26377.64,26368,26362.99,26352.84,26343.57,26334.02,26325.33,26316.43,26309.5
32061.36,31683.11,31426.19,31239.05,31109.87,30983.07,30892.35,30807.41,30730.81,30652.05,30585.7,30520.92,30454.8,30397.73,30344.67,30296,30237.4,30184.8,30138.36,30102.11,30046.54,30014.28,29959.72,29924.62,29874.09,29824.76,29791.68,29742.63,29706.65,29668.77,29634.07,29607.92,29575.25,29543.26,29517.03,29483.84,29451.85,29419.96,29382.54,29357.23,29322.34,29295.82,29266.93,29232.75,29204.09,29170.44,29144.9,29107.27,29070.69,29036.47,29001.43,28975.65,28941.69,28917.33,28883.68,28853.74,28821.85,28792.82,28761.1,28728.25,28701.67,28670.53,28638.31,28601.63,28571.59,28536.88,28518.97,28488.63,28466.24,28432.35,28406.48,28370.88,28344.25,28310.5,28285.85,28257.66,28231.01,28211.29,28188.76,28170.41,28147.35,28119.35,28098.05,28079.62,28058.69,28036.56,28016.54,28007.32,27994.21,27980.37,27954.47,27938.2,27919.52,27905.53,27895.07,27873.16,27853.68,27830.23,27817.42,27802.1
32273.66,32349.73,32402.65,32463.87,32510.02,32536.01,32568.05,32601.59,32651.09,32646.71,32671.12,32654.23,32663.46,32631.51,32618.04,32578.78,32552.23,32532.91,32475.82,32497.32,32471.55,32429,32424.88,32410.39,32364.95,32358.02,32319.9,32278.37,32246.4,32212.22,32203.42,32175.85,32179.47,32173.05,32142.09,32127.02,32143.87,32098.29,32059.98,32094.25,32100.29,32044.83,32066.38,32018.05,31998.12,31983.19,31969.53,31960.02,31960.31,31981.26,31958.65,31966.32,31902.03,31893.01,31927.41,31926.67,31927.07,31905,31898.95,31934.44,31895.8,31883.14,31896.24,31886.53,31861.46,31836.79,31814.26,31818.26,31807.15,31781.22,31765.42,31738.58,31778.67,31774.79,31793.76,31743.15,31752.01,31705.75,31710.57,31704.84,31704.44,31730.22,31712.29,31698.01,31696.91,31683.96,31671.09,31656.52,31667.9,31671.01,31660.69,31672.47,31660.1,31636.41,31637.6,31629.09,31611.06,31613.56,31600.75,31589.42
14760.33,12942.98,12091.21,11670.18,11292.95,11139.15,11065.84,11013.34,10984.8,10986.64,10993.27,10987.81,10995.51,10992.04,10997.66,10986.48,10988.2,10985.23,10987.46,10988.62,10981.81,10982.2,10983.12,10983.79,10978.47,10980.02,10979.98,10975.87,10976.75,10976.46,10978.82,10971.24,10971.86,10970.5,10970.9,10969.33,10962.17,10965.6,10959.43,10960.72,10960.25,10956.2,10952.68,10951.28,10947.36,10945.26,10943.31,10939.07,10944.45,10940.23,10935.8,10933.96,10930.31,10930.14,10928.67,10926.12,10925.55,10920.97,10912.23,10910.45,10911.36,10908.64,10908.82,10906.84,10901.34,10891.82,10892.09,10886.62,10893.1,10888.67,10884.51,10882.85,10877.02,10880.57,10874.9,10871.87,10870.05,10868.32,10866.82,10863.52,10866.96,10860.09,10862.81,10863.69,10863.73,10860.68,10861.28,10864.27,10862.35,10865,10859.14,10863.49,10861.69,10864.05,10859.84,10860.02,10861.96,10865.17,10864.82,10859.65
14759.61,13381.82,12646,12319.49,12150.82,12000.72,11832.87,11748.2,11701.38,11634.91,11529.56,11421.67,11301.45,11217.37,11155.57,11074.57,11019.47,11003.09,10997.36,10995.36,10997.34,10997.67,10995.57,10990.03,10995.16,10997.31,10991.71,10994.61,11000.07,10997.4,10995.71,10994.75,10992.71,11000.68,10995.05,10994.62,10994.58,11000.26,10995.29,10992.99,10999.49,11003.59,10991.23,10993.65,10996.88,10991.71,11006.12,10989.08,10989.86,11001.22,10991.75,10995.73,10998.1,10998.3,10989.35,10997.12,10993.53,10998.26,10989.84,10996.96,10992.16,10991.86,10996.58,11007.25,10996.16,10999.73,10999.54,10995.16,10995.42,10999.2,10996.28,10993.95,10993.78,10994.98,10996.04,10991.34,10995.06,10994.5,11000.6,10998.54,10987.72,10994.44,10999.9,10988.33,10997.57,10995.78,10993.87,11004.32,10993.23,10992.34,10998.16,10991.35,10998.21,11000.42,10994.84,10993.74,10993.9,10993.23,10999.38,10997.26
14742.95,14046.46,13601.69,13268.27,13080.32,12946.27,12823.75,12725.7,12622.75,12512.79,12393.74,12227.42,11989.55,11879.56,11819.25,11757.87,11699.85,11643.56,11621.64,11579.91,11529.07,11461.05,11411.64,11374.6,11319.39,11278.46,11244.61,11211.3,11172.4,11162.59,11145.71,11119.24,11097.72,11086.34,11069.5,11049.13,11041.85,11018.51,11007.93,11008.41,11003.91,11003.41,11003.07,11009.69,11005.59,11000.99,10998.37,11004.85,11004.42,10998.62,11007.95,11000.9,11009.55,11012.28,11003.72,11009.32,10998.16,11006.49,11007.14,11003.36,11001.24,10999.62,11005.07,11000.02,11008.32,11006.24,11004.25,10998.29,11000.93,11001.41,10997.86,11009.42,11007.2,11008.48,10996.67,11002.71,11008.92,11003.82,10998.73,11000.36,10998.09,11002.94,11008.81,10999.81,11003.69,11003.33,11003.74,11003.09,11001.56,11012.99,11004.9,11002.97,11002.02,11003.44,11010.1,11010.17,10998.97,10998.5,10998.4,11001.47
15035.73,14603.79,14351.08,14142.44,13957.02,13774.96,13630.64,13495.12,13402.03,13315.04,13199.36,13118.04,13056.97,13007.41,12941.85,12856.41,12779.41,12742.39,12708.92,12667.81,12630.32,12575.98,12554.74,12527.23,12521.98,12463,12403.39,12380.02,12356.21,12332.94,12307.61,12277.1,12261.75,12235.51,12237.8,12196.28,12201.88,12193.41,12162.81,12149.27,12130.09,12099.8,12095.18,12071.57,12056.53,12034.92,12032.71,12013.9,12031.96,12011.73,12021,11998.9,11991.08,11989.58,11969.16,11963.3,11959.28,11972.75,11946.09,11913.68,11900.18,11881.72,11887.89,11879.26,11864.73,11864.57,11871.28,11830.46,11807.48,11825.27,11809.23,11791.32,11778.7,11766.73,11754.85,11750.34,11723.49,11703.03,11701.49,11672.19,11661.46,11660.2,11670.46,11644.03,11645.45,11626.19,11621.21,11590.62,11567.54,11576.61,11594.63,11579.66,11567.87,11575.67,11571.71,11532.81,11526.11,11513.12,11515.44,11493.11
