1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15543.69,12970.32,12473.99,12200.41,11976.1,11734.52,11495.02,11316.96,11233.51,11180.01,11109.21,11080.13,11064.81,11045.53,11009.97,10973.65,10964.31,10955.22,10955.72,10933.81,10924.86,10938.27,10927.19,10913.05,10952.79,10947.24,10956.15,10924.49,10942.99,10925.73,10936.04,10938.2,10931.08,10921,10901.87,10909.41,10932.78,10952.76,10933.58,10922.26,10944.31,10967.87,10954.37,10939.54,10941.58,10939.91,10974.76,11000.66,10985.44,10995.61,10984.24,10976.27,11004.26,10989.43,10974.56,10985.53,11020,11004.86,11015.7,11013.06,10979.67,11025.05,11026.6,10991.61,10999.98,11007.77,11038.31,11025.83,11027.28,11029.49,11022.03,11014.62,11025.21,11023.87,11033.32,11036.3,11031.5,11022.31,11032.11,11047.38,11046.44,11043.13,11045.15,11035.27,11052.15,11045.99,11027.93,11047.46,11028.83,11056.29,11039.03,11040.82,11041.21,11041.3,11056.03,11042.12,11054.38,11073.03,11047.48,11058.86
16953.4,15109.09,13934.79,13089.99,12393.48,12181.3,12031.87,11931.1,11843.82,11819.83,11799.13,11741.19,11690.58,11664.66,11653.11,11634.61,11625.96,11632.77,11640.43,11613.14,11585.55,11571.33,11589.69,11543.13,11506.64,11502.44,11459.64,11444.62,11423.57,11412.45,11395.76,11369,11332.18,11345.65,11365.31,11390.76,11364.02,11381.16,11404.4,11392.17,11435.53,11405.83,11422.82,11409.15,11394.98,11434.06,11420.91,11382.6,11424.23,11440.5,11438.54,11425.9,11423.2,11420.45,11436.61,11413.45,11422.81,11407.51,11400.55,11375.08,11320.57,11321.85,11343.49,11326.82,11305.08,11321.21,11295.79,11342.69,11288.6,11280.86,11257.25,11248.56,11215.6,11224.16,11214.19,11205.91,11204.75,11231.24,11206.33,11208.92,11207.24,11224.78,11199.65,11226.06,11191.27,11214.05,11205.36,11198.51,11188.74,11201.61,11182.93,11172.61,11170.66,11179.35,11204.34,11176,11209.33,11184.05,11205.16,11170.32
18081.91,16342.77,15502.45,14466.05,13761.56,13272.02,12904.37,12784.85,12771.83,12755.53,12691.29,12699.14,12626.83,12516.71,12468.76,12412.69,12391.2,12406.23,12383.57,12321.46,12306.73,12311.31,12278.33,12280.05,12241.35,12263.13,12290.74,12253.13,12230.21,12219.97,12193.06,12250.5,12238.3,12240.63,12206.86,12236.95,12222.3,12214.62,12184.89,12230.7,12244.51,12256.25,12286.82,12243.11,12273.02,12247.6,12266.28,12254.21,12210.05,12191.24,12179.91,12144.22,12097.36,12037.61,12049.12,12003.33,11955.18,11953.48,11949.11,11915.31,11888.45,11875.71,11857.03,11816.95,11828.45,11817.56,11797.81,11755.23,11753.61,11745.7,11723.72,11735.42,11757.37,11784.57,11763.23,11743.12,11760.21,11773.71,11707.07,11712.85,11731.89,11709.38,11712.52,11683.86,11669.69,11671.69,11680.52,11671.82,11687.8,11671.84,11682.13,11675.45,11695.36,11706.85,11714.84,11703.45,11660.19,11658.78,11672.64,11721.57
18792.26,17910.17,17539.37,17361.37,17039.03,16837.09,16563.94,16081.41,15774.61,15576.34,15172.01,14885.67,14457.94,14017.32,13748.78,13477.77,13496.59,13473.11,13450.59,13432.23,13428.53,13419.67,13377.94,13350.71,13398.67,13440.02,13387.57,13361.19,13330.08,13293.55,13220.97,13124.68,13127.66,13119.87,13112.45,13055.98,13050.41,13009.81,13015.82,12955.89,12974.39,12969.34,12983.48,12954.1,12904.59,12861.38,12836.41,12869.6,12783.71,12794.01,12738.4,12723.11,12731.73,12702.17,12704.75,12659.54,12685.24,12625.12,12658.87,12653.61,12639.46,12664.78,12654.45,12695.15,12731.93,12715.04,12745.88,12791.71,12781.38,12798.39,12758.98,12747.93,12728.39,12784.02,12749.24,12741.14,12689.53,12690.45,12742.58,12672.24,12636.83,12701.92,12673.18,12637.61,12589.06,12502.17,12555.29,12518.18,12486.63,12453.58,12506.25,12488.76,12466.32,12435.48,12404.19,12447.25,12342.54,12338.11,12260.32,12245.81
19263.57,18487.4,18261.24,18254.8,18170.8,18169.75,18155.37,17991.59,17960.74,17928.71,17828.04,17794.46,17554.24,17275,17058.54,16834.04,16692.91,16708.9,16591.47,16569.26,16292.3,16169.53,15829.72,15631.57,15282.52,14996.17,14625.87,14406.41,14181.14,14108.11,14120.19,14085.67,14058.44,14008.73,13974.84,13982.28,13965.05,13912.79,13910.27,13826.74,13857.93,13854.77,13921.93,13890.95,13823.56,13821.9,13776.84,13770.49,13749.27,13752.99,13696.12,13651.25,13636.45,13631.07,13600.51,13584.12,13615.69,13535.72,13518.5,13551.95,13563.91,13477.84,13466.93,13466.22,13465.33,13445.04,13493.06,13480.35,13486.46,13550.1,13527.11,13362.43,13319.64,13286.77,13224.9,13194.57,13170.77,13132.8,13168.78,13118.8,13129.46,13176.4,13109.74,13036.46,13081.68,13141.54,13127.98,13139.08,13181.96,13182.42,13213.28,13180.52,13126.91,13049.29,13135.05,13154.87,13181.22,13210.47,13132.55,13054.82
17565.03,13879.59,13245.32,13006.92,12913.3,12855.36,12842.88,12787.62,12762.97,12731.84,12713.92,12693.91,12716.31,12673.14,12658.27,12622.98,12635.92,12629.84,12650.2,12653.65,12612.54,12625.28,12609.04,12634.8,12625.71,12627.1,12621.63,12596.96,12600.5,12576.34,12578.56,12579.42,12529.78,12531.23,12545.93,12563.8,12566.16,12508.83,12573.32,12562.53,12571.41,12529.73,12535.67,12531.48,12550.52,12550.65,12530.03,12554.45,12533.12,12531.62,12552.77,12582.84,12555.04,12551.1,12540.34,12543.49,12539.25,12516.32,12538.08,12533.96,12547.17,12533.67,12534.92,12546.58,12516.78,12510.5,12556.17,12549.71,12529.41,12559.1,12534.58,12518.12,12547.38,12531.64,12568.63,12550.82,12539.64,12530.2,12558.51,12542.55,12544.51,12566.47,12515.76,12526.47,12536.5,12543.37,12552.91,12562.43,12536.98,12546.9,12545.05,12531.82,12517.08,12543.16,12537.97,12559.4,12551.84,12527.76,12522.94,12557.98
16964.13,14503.18,13915.95,13535.85,13273.4,13101.15,12972.38,12881.71,12874.53,12827.28,12773.51,12720.06,12660.91,12646.64,12638.99,12609.34,12601.95,12604.78,12602.74,12572.31,12591.51,12594.3,12580.76,12584.66,12564.03,12589.91,12567.75,12587.43,12575.9,12565.01,12573,12557.87,12575.98,12569.72,12557.25,12577.73,12584.02,12558.75,12582.47,12561.21,12572.59,12569,12547.59,12559.59,12569.21,12563.24,12558.71,12557.37,12560.61,12555.9,12569.85,12562.99,12577.68,12575.46,12578.69,12563.22,12552.56,12557.56,12573.25,12542.94,12555.63,12539.51,12543.36,12559.75,12542.58,12545.44,12553.78,12566.71,12545.97,12554.87,12548.29,12566.81,12557.82,12557.78,12563.43,12545.38,12563.2,12558.54,12575.81,12553.36,12550.79,12551.29,12543.1,12541.9,12550.94,12573.78,12542.84,12555.64,12560.05,12541.79,12557.47,12547.8,12550.46,12549.53,12566.12,12541.18,12549.23,12549.44,12534.86,12552.7
16991.63,15565.83,14973.68,14561.04,14194.94,13939.7,13667.47,13452.36,13334.05,13241.22,13050.06,12971.6,12955.68,12922.19,12914.14,12857.44,12866.5,12852.69,12829.82,12799.91,12727.91,12691.83,12693.56,12681.82,12694.06,12693.47,12700.33,12682.26,12692.41,12667.44,12664.85,12674.25,12660.72,12659.43,12662.52,12643.48,12660.95,12640.77,12658.86,12619.8,12635.72,12643.15,12629.93,12624.05,12663.83,12634.66,12617.16,12626.93,12614.27,12606.79,12626.03,12619.31,12608.16,12615.56,12633.28,12617.33,12622.56,12602.53,12626.27,12604.34,12607.37,12619.03,12597.77,12629.55,12602.32,12597.02,12610.95,12639.46,12607.86,12611.99,12613.91,12616.26,12614.6,12621.78,12607.12,12602.06,12618.17,12606.87,12611.59,12591.66,12603.62,12601.79,12602.81,12611.18,12609.77,12605.52,12608.7,12620.36,12624.58,12601.81,12604.86,12615.21,12606.82,12613.14,12608.15,12604.14,12611.43,12613.29,12598.27,12612.8
16900.89,16333.02,16013.16,15799.39,15591.37,15385.73,15216.32,15047.65,14935.83,14786.34,14686.01,14534.43,14408.63,14314.72,14206.62,14147.87,14050.04,13993.17,13930.94,13870.79,13792.26,13744.43,13644.88,13602.73,13535.56,13491.26,13421.64,13397.79,13357.7,13292.53,13251.14,13214.32,13192.84,13119.57,13096.1,13031.46,13039,13013.21,13006.72,12974.16,12967.21,12962.14,12938.66,12939.02,12929.67,12908.24,12891.39,12886.38,12853.99,12825.01,12860.12,12874.69,12822.09,12825.17,12804.86,12811.28,12800.32,12793.31,12775.67,12760.63,12768.71,12783.97,12756.39,12760.24,12736.58,12754.48,12769.46,12743.44,12715.23,12718.42,12699.01,12709.51,12704.63,12727.64,12702.85,12719.18,12707.65,12708.58,12723.04,12688.83,12710.62,12708.17,12713.45,12692.13,12686.55,12690.86,12689.24,12702.52,12693.04,12676.97,12704.16,12692.7,12671.49,12676.96,12681.08,12678.96,12695.22,12668.93,12671.77,12680.59
